,Email No.,the,to,ect,and,for,of,a,you,hou
68,Email 69,2,5,2,0,0,0,43,0,0
69,Email 70,23,12,11,3,15,2,128,1,6
70,Email 71,2,1,1,0,0,0,8,1,0
71,Email 72,0,6,1,0,0,0,19,0,0
72,Email 73,0,2,1,4,1,0,37,4,0
73,Email 74,0,0,1,0,0,0,7,0,0
74,Email 75,6,3,1,1,1,3,26,0,0
75,Email 76,0,1,2,0,1,0,13,0,0
76,Email 77,5,3,1,1,1,2,22,0,0
77,Email 78,9,3,1,2,2,4,28,0,0
78,Email 79,3,1,1,0,1,1,19,0,0
79,Email 80,13,11,5,4,9,12,168,7,0
80,Email 81,3,0,1,1,0,1,10,1,0
81,Email 82,0,0,1,0,0,0,5,0,1
82,Email 83,1,1,1,1,1,0,13,1,0
83,Email 84,12,15,1,12,7,1,231,10,0
84,Email 85,7,1,4,2,0,2,28,1,1
85,Email 86,8,3,13,4,2,4,45,1,7
86,Email 87,0,0,1,0,1,0,3,0,0
87,Email 88,0,1,1,0,0,0,3,0,0
88,Email 89,0,0,1,0,1,0,3,0,0
89,Email 90,3,2,1,0,2,0,18,1,0
90,Email 91,1,0,1,0,0,0,4,0,0
91,Email 92,8,5,2,0,2,0,34,1,0
92,Email 93,22,15,2,13,3,13,172,17,1
93,Email 94,19,23,4,20,12,11,190,12,0
94,Email 95,6,10,17,2,4,1,68,2,8
95,Email 96,17,15,29,5,8,2,128,3,14
96,Email 97,8,6,8,0,2,0,48,1,2
97,Email 98,3,1,1,0,2,0,11,0,0
98,Email 99,2,1,1,0,1,2,20,0,0
99,Email 100,3,3,1,1,0,3,35,2,0
100,Email 101,3,2,1,2,2,1,24,0,1
101,Email 102,2,2,2,0,2,0,19,1,0
102,Email 103,1,3,1,2,2,0,24,2,0
103,Email 104,0,0,1,0,0,0,4,0,0
104,Email 105,0,1,2,1,2,2,25,1,1
105,Email 106,1,0,1,1,3,1,23,0,0
106,Email 107,7,12,1,2,5,8,55,7,0
107,Email 108,35,32,9,23,15,33,314,0,2
108,Email 109,5,5,16,2,5,1,51,0,8
109,Email 110,1,5,3,0,0,0,43,0,0
110,Email 111,1,1,1,0,0,0,9,1,0
111,Email 112,31,26,4,21,16,13,189,3,3
112,Email 113,5,2,2,1,0,1,18,2,0
113,Email 114,24,11,23,2,11,2,110,6,9
114,Email 115,1,2,1,2,2,0,14,1,0
115,Email 116,33,16,8,7,16,21,387,11,0
116,Email 117,2,0,1,0,1,1,15,1,0
117,Email 118,1,3,7,2,1,1,20,0,4
118,Email 119,14,12,12,6,8,3,98,3,5
119,Email 120,9,7,1,4,4,3,35,1,0
120,Email 121,6,7,11,5,2,1,62,4,3
121,Email 122,0,2,1,1,0,1,55,0,0
122,Email 123,0,2,1,1,3,1,14,0,1
123,Email 124,2,2,1,1,1,0,22,3,0
124,Email 125,0,0,1,0,1,0,7,0,0
125,Email 126,1,1,1,0,1,0,6,0,0
126,Email 127,1,3,2,1,1,0,11,1,0
127,Email 128,11,12,3,3,3,2,52,1,2
128,Email 129,0,1,1,0,0,0,18,1,1
129,Email 130,0,0,1,0,0,0,0,0,0
130,Email 131,1,0,1,1,1,0,16,1,0
131,Email 132,5,16,2,1,0,0,42,0,0
132,Email 133,2,2,3,2,0,1,10,1,0
133,Email 134,3,3,2,1,0,3,27,2,0
134,Email 135,3,2,2,3,0,1,30,2,1
135,Email 136,0,1,1,2,0,0,18,1,2
136,Email 137,8,1,1,3,4,1,33,2,0
137,Email 138,0,1,2,0,1,0,13,0,0
138,Email 139,0,1,2,0,1,0,11,0,0
139,Email 140,2,4,1,2,1,0,41,0,0
140,Email 141,31,36,62,9,25,14,275,13,26
141,Email 142,15,22,47,5,6,6,121,0,21
142,Email 143,3,5,10,0,5,0,32,5,3
143,Email 144,14,12,7,6,4,2,122,5,3
144,Email 145,1,0,1,0,0,0,3,0,0
145,Email 146,0,0,1,0,0,0,11,2,0
146,Email 147,4,12,4,9,7,1,214,2,0
147,Email 148,1,2,1,3,1,0,28,3,0
148,Email 149,0,3,4,1,0,1,40,0,0
149,Email 150,5,11,1,2,2,5,49,11,2
150,Email 151,0,1,2,0,3,0,15,0,0
151,Email 152,0,5,1,3,1,0,31,0,0
152,Email 153,0,1,1,0,1,0,4,0,0
153,Email 154,18,9,3,3,2,1,67,2,2
154,Email 155,2,7,12,6,2,1,62,4,5
155,Email 156,2,3,2,0,3,3,25,0,1
156,Email 157,2,6,12,1,4,3,48,0,6
157,Email 158,3,4,2,2,1,2,28,2,0
158,Email 159,1,8,8,5,5,1,192,1,1
159,Email 160,4,9,3,5,5,0,178,2,0
160,Email 161,26,10,3,14,2,7,97,5,1
161,Email 162,2,3,1,4,2,0,28,3,0
162,Email 163,0,1,1,0,0,0,4,0,0
163,Email 164,0,1,1,0,3,0,18,0,0
164,Email 165,10,6,18,3,7,5,72,0,9
165,Email 166,2,1,1,0,0,3,33,1,0
166,Email 167,0,1,1,0,0,0,6,0,0
167,Email 168,2,2,2,1,5,1,24,2,0
168,Email 169,10,9,3,2,3,3,38,3,0
169,Email 170,1,0,1,0,0,1,23,0,0
170,Email 171,21,23,1,11,11,3,127,0,1
171,Email 172,11,11,1,3,5,5,81,3,0
172,Email 173,0,2,1,0,0,0,45,1,0
173,Email 174,0,1,1,0,0,1,7,0,0
174,Email 175,29,28,6,16,12,4,150,1,2
175,Email 176,2,6,2,2,4,7,33,2,1
176,Email 177,22,17,2,9,8,8,163,18,3
177,Email 178,2,0,1,0,1,0,4,1,0
178,Email 179,13,6,2,4,4,7,69,5,0
179,Email 180,40,41,79,11,35,18,341,16,33
180,Email 181,0,0,1,0,1,0,6,1,0
181,Email 182,1,0,1,0,0,0,1,0,0
182,Email 183,14,34,45,5,28,3,228,6,18
183,Email 184,2,2,2,1,5,0,20,2,0
184,Email 185,1,0,1,0,0,0,8,0,0
185,Email 186,3,2,1,0,6,1,24,5,1
186,Email 187,4,2,7,3,5,0,37,1,4
187,Email 188,18,9,16,5,7,3,81,1,9
188,Email 189,1,1,1,0,0,0,14,4,0
189,Email 190,9,7,1,5,1,4,41,3,2
190,Email 191,5,2,1,1,4,0,31,3,0
191,Email 192,5,6,1,1,3,3,48,3,0
192,Email 193,1,1,1,1,0,1,15,0,0
193,Email 194,5,0,1,2,2,0,12,1,0
194,Email 195,0,0,2,0,2,0,12,2,0
195,Email 196,9,3,2,1,5,1,38,1,1
196,Email 197,35,18,4,17,13,15,178,11,1
197,Email 198,0,0,1,0,1,0,5,0,0
198,Email 199,0,0,2,0,2,0,12,2,0
199,Email 200,2,2,2,0,2,0,23,1,1
200,Email 201,15,37,51,5,31,3,250,6,22
201,Email 202,36,51,13,9,15,21,337,15,2
202,Email 203,4,2,2,3,3,5,47,3,0
203,Email 204,4,8,1,1,2,3,22,3,0
204,Email 205,0,0,1,0,1,0,5,0,0
205,Email 206,9,7,1,5,1,0,58,4,0
206,Email 207,23,12,11,4,7,2,120,6,2
207,Email 208,15,8,4,12,11,14,191,0,1
208,Email 209,3,7,2,2,2,1,32,7,0
209,Email 210,0,3,2,0,1,0,13,0,0
210,Email 211,1,1,1,0,0,0,13,0,0
211,Email 212,7,11,1,1,3,0,93,3,2
212,Email 213,13,15,36,5,9,2,117,1,16
213,Email 214,0,1,1,0,0,0,0,1,0
214,Email 215,17,28,13,4,12,2,170,11,8
215,Email 216,8,9,1,6,4,6,62,8,2
216,Email 217,0,1,2,0,1,0,13,0,0
217,Email 218,1,0,1,0,0,0,0,0,0
218,Email 219,5,1,1,1,2,0,18,1,0
219,Email 220,5,5,1,2,1,1,22,3,0
220,Email 221,46,28,33,10,8,10,253,14,14
221,Email 222,0,3,5,2,2,0,29,4,1
222,Email 223,10,9,19,0,3,7,80,1,8
223,Email 224,0,3,2,0,1,0,11,0,0
224,Email 225,30,26,5,14,4,9,204,1,1
225,Email 226,61,50,39,20,13,15,282,1,20
226,Email 227,3,1,1,0,2,1,19,0,0
227,Email 228,0,2,1,0,0,0,14,0,0
228,Email 229,0,1,2,0,1,0,13,0,0
229,Email 230,16,17,13,5,4,11,123,5,5
230,Email 231,4,0,1,2,3,0,15,0,1
231,Email 232,11,8,61,2,9,1,102,2,30
232,Email 233,0,0,1,0,0,0,3,1,0
233,Email 234,1,1,1,0,2,0,16,1,1
234,Email 235,1,4,14,0,2,0,29,1,7
235,Email 236,11,11,1,7,8,7,115,8,1
236,Email 237,5,0,1,1,4,3,20,0,0
237,Email 238,2,2,2,0,2,0,19,1,0
238,Email 239,13,9,1,13,5,5,87,0,0
239,Email 240,1,0,1,0,2,0,10,1,0
240,Email 241,13,7,2,4,2,5,36,4,2
241,Email 242,9,5,17,5,7,0,62,2,9
242,Email 243,1,4,13,0,1,0,21,0,6
243,Email 244,4,7,13,0,2,4,49,2,6
244,Email 245,20,15,2,13,9,7,141,18,0
245,Email 246,22,17,2,14,9,10,153,18,0
246,Email 247,1,1,2,0,0,1,10,0,0
247,Email 248,99,88,13,69,39,57,843,7,4
248,Email 249,0,1,2,0,1,0,11,0,0
249,Email 250,2,1,1,2,2,2,19,2,0
250,Email 251,22,10,1,3,4,4,85,1,1
251,Email 252,0,0,1,0,0,0,6,0,0
252,Email 253,0,0,1,0,1,0,5,0,0
253,Email 254,9,4,1,0,5,6,25,0,0
254,Email 255,5,4,1,0,1,2,22,0,0
255,Email 256,1,3,1,4,2,0,58,3,1
256,Email 257,4,0,1,0,4,0,16,0,0
257,Email 258,5,9,2,6,2,5,74,3,0
258,Email 259,4,4,1,0,1,1,16,1,0
259,Email 260,1,1,1,0,0,0,66,0,0
260,Email 261,3,0,1,1,0,0,8,0,1
261,Email 262,5,2,18,2,6,1,59,0,8
262,Email 263,2,1,1,0,1,4,18,1,0
263,Email 264,2,16,7,9,2,1,194,2,0
264,Email 265,0,1,2,0,1,0,15,0,0
265,Email 266,0,0,1,0,0,0,2,0,0
266,Email 267,0,1,2,0,1,0,9,0,0
267,Email 268,4,3,1,3,3,1,34,0,0
268,Email 269,5,6,6,1,4,2,30,1,3
269,Email 270,6,6,1,4,11,3,52,17,1
270,Email 271,0,1,2,0,1,0,7,0,0
271,Email 272,0,0,1,0,1,0,4,0,0
272,Email 273,6,1,2,0,0,2,19,1,0
273,Email 274,0,1,2,0,1,0,15,0,0
274,Email 275,9,9,4,2,6,3,50,7,1
275,Email 276,1,4,9,1,1,1,16,0,4
276,Email 277,50,67,16,21,15,29,412,15,3
277,Email 278,0,1,2,0,1,0,9,0,0
278,Email 279,3,7,10,1,1,2,41,0,4
279,Email 280,0,2,9,0,3,0,20,1,3
280,Email 281,6,0,2,2,3,1,21,3,0
281,Email 282,1,5,1,0,1,0,22,2,0
282,Email 283,1,2,2,1,1,0,11,1,0
283,Email 284,8,3,9,2,5,1,41,4,3
284,Email 285,9,5,1,4,4,2,42,0,0
285,Email 286,3,5,2,0,1,0,26,5,0
286,Email 287,1,2,2,0,1,0,9,0,0
287,Email 288,4,2,3,0,4,0,26,0,0
288,Email 289,6,14,5,5,9,7,119,4,3
289,Email 290,4,6,1,1,3,2,46,3,0
290,Email 291,7,3,1,0,4,2,28,1,0
291,Email 292,1,0,1,0,2,0,14,0,0
292,Email 293,3,4,33,0,2,0,40,0,15
293,Email 294,7,7,11,4,5,2,59,10,3
294,Email 295,10,6,18,6,2,1,70,1,9
295,Email 296,1,0,1,0,0,0,7,0,0
296,Email 297,1,1,1,0,0,1,18,1,0
297,Email 298,0,0,1,0,0,0,2,0,0
298,Email 299,5,7,3,0,1,1,43,7,0
299,Email 300,1,1,1,0,0,0,18,2,0
300,Email 301,2,1,1,0,1,1,15,2,0
301,Email 302,3,2,1,1,1,0,22,1,0
302,Email 303,0,0,1,0,0,0,0,0,0
303,Email 304,1,0,1,0,1,0,6,0,0
304,Email 305,1,3,1,2,3,0,11,0,0
305,Email 306,9,2,1,0,5,2,37,0,0
306,Email 307,1,7,1,0,0,3,17,3,0
307,Email 308,0,0,1,0,0,0,1,0,0
308,Email 309,53,43,6,54,18,29,340,0,1
309,Email 310,19,13,6,24,8,17,220,0,1
310,Email 311,18,10,7,15,10,16,132,0,1
311,Email 312,0,1,1,0,0,0,0,1,1
312,Email 313,0,3,2,0,1,0,11,0,0
313,Email 314,0,1,1,0,0,1,5,0,0
314,Email 315,7,4,1,4,3,1,23,2,0
315,Email 316,6,5,2,3,1,1,34,8,0
316,Email 317,13,7,5,2,6,1,54,4,2
317,Email 318,3,4,3,1,3,0,25,0,0
318,Email 319,2,3,2,1,2,0,15,0,0
319,Email 320,9,7,1,0,1,2,46,2,0
320,Email 321,10,12,4,6,8,6,187,5,0
321,Email 322,2,1,2,0,3,0,9,0,0
322,Email 323,5,10,3,8,4,2,189,2,0
323,Email 324,4,6,1,1,3,2,56,3,0
324,Email 325,2,4,3,3,0,1,33,4,0
325,Email 326,0,3,2,0,1,0,11,0,0
326,Email 327,0,0,1,0,1,3,14,0,0
327,Email 328,4,4,2,2,6,6,33,9,1
328,Email 329,2,3,2,1,2,0,28,1,0
329,Email 330,2,2,1,0,4,0,28,1,0
330,Email 331,7,4,1,3,3,2,32,3,0
331,Email 332,0,2,1,4,0,0,20,4,0
332,Email 333,13,6,8,3,6,5,58,6,3
333,Email 334,2,3,1,2,3,4,29,3,0
334,Email 335,3,2,1,0,0,2,16,1,0
335,Email 336,15,7,17,7,8,5,74,7,7
336,Email 337,2,6,2,2,1,0,127,1,2
337,Email 338,14,15,2,4,3,1,56,1,0
338,Email 339,0,1,1,0,0,0,28,0,0
339,Email 340,24,12,2,18,2,2,82,5,0
340,Email 341,3,4,2,2,4,6,22,3,1
341,Email 342,0,3,1,0,0,1,23,0,0
342,Email 343,13,17,3,2,8,11,103,31,0
343,Email 344,20,14,5,4,7,12,89,19,0
344,Email 345,3,3,3,1,2,0,32,3,1
345,Email 346,23,10,32,2,2,2,115,3,14
346,Email 347,0,2,1,0,0,0,69,0,0
347,Email 348,6,2,3,2,2,2,27,2,0
348,Email 349,0,1,2,2,1,0,15,0,0
349,Email 350,39,38,3,10,17,11,125,22,3
350,Email 351,33,24,9,39,21,14,355,0,3
351,Email 352,0,2,1,0,0,0,17,0,0
352,Email 353,3,4,2,2,1,4,28,0,1
353,Email 354,4,5,1,2,1,0,11,2,0
354,Email 355,1,2,7,0,2,1,22,2,3
355,Email 356,1,2,1,0,0,0,5,0,0
356,Email 357,12,14,3,6,2,2,123,7,1
357,Email 358,2,4,1,0,1,0,23,1,1
358,Email 359,1,2,2,3,3,1,29,7,0
359,Email 360,4,1,1,1,2,1,12,0,1
360,Email 361,6,4,7,3,4,9,45,1,1
361,Email 362,0,1,2,0,1,0,7,0,0
362,Email 363,1,5,1,0,2,1,12,0,0
363,Email 364,1,2,1,1,0,1,17,4,1
364,Email 365,7,5,2,11,6,2,80,5,0
365,Email 366,0,1,2,0,1,0,9,0,0
366,Email 367,30,31,6,19,14,27,236,3,3
367,Email 368,11,2,1,0,7,4,47,1,0
368,Email 369,5,6,2,1,1,0,49,0,0
369,Email 370,0,1,2,0,1,0,7,0,0
370,Email 371,4,1,2,1,0,0,21,1,3
371,Email 372,5,9,3,6,8,1,87,0,2
372,Email 373,3,4,1,1,2,1,11,3,1
373,Email 374,2,2,7,0,9,0,56,3,2
374,Email 375,0,1,2,0,0,0,19,1,0
375,Email 376,9,3,1,1,1,0,18,1,1
376,Email 377,0,2,1,1,0,0,8,0,0
377,Email 378,13,9,1,5,3,2,98,1,0
378,Email 379,3,2,7,2,6,0,45,1,0
379,Email 380,3,1,1,1,0,3,17,1,0
380,Email 381,1,1,1,0,0,0,2,0,0
381,Email 382,1,0,1,0,0,0,4,0,0
382,Email 383,11,3,37,1,5,3,76,2,18
383,Email 384,11,2,2,5,2,1,61,0,1
384,Email 385,2,7,4,11,6,2,108,10,1
385,Email 386,0,4,1,1,2,0,12,0,0
386,Email 387,0,0,1,0,0,0,1,0,0
387,Email 388,0,0,1,0,0,0,3,0,0
388,Email 389,2,11,6,2,1,0,188,1,0
389,Email 390,9,14,3,5,9,5,92,4,0
390,Email 391,64,34,11,45,29,36,373,2,4
391,Email 392,8,14,3,7,4,6,291,6,0
392,Email 393,0,5,2,0,1,0,13,0,0
393,Email 394,12,9,16,1,4,4,63,1,7
394,Email 395,9,5,7,0,2,1,27,2,4
395,Email 396,1,0,1,0,1,0,2,0,0
396,Email 397,1,6,2,4,1,1,20,2,0
397,Email 398,0,2,1,1,2,2,15,1,0
398,Email 399,10,3,1,1,1,0,22,3,1
399,Email 400,0,1,2,0,1,0,13,0,0
400,Email 401,7,28,10,20,7,3,569,3,6
401,Email 402,9,7,13,0,3,1,40,2,7
402,Email 403,13,5,2,0,3,3,42,4,0
403,Email 404,1,5,5,1,1,0,35,0,2
404,Email 405,31,28,2,14,6,5,132,3,4
405,Email 406,16,6,15,0,10,6,83,2,7
406,Email 407,1,2,1,1,1,1,44,1,0
407,Email 408,3,0,2,0,2,1,18,1,0
408,Email 409,3,0,1,0,0,0,15,1,0
409,Email 410,57,25,19,10,12,7,183,8,14
410,Email 411,18,8,2,6,4,4,125,16,2
411,Email 412,210,111,8,83,37,77,951,42,5
412,Email 413,0,0,1,0,1,0,3,0,0
413,Email 414,0,1,2,0,1,0,9,0,0
414,Email 415,0,0,1,0,0,0,3,0,0
415,Email 416,21,6,4,6,6,2,60,0,1
416,Email 417,1,1,1,1,1,0,10,1,0
417,Email 418,7,7,20,0,6,0,58,1,9
418,Email 419,11,3,1,2,3,1,46,1,1
419,Email 420,1,6,1,0,2,1,12,0,0
420,Email 421,1,0,1,0,0,0,2,0,0
421,Email 422,2,4,8,0,3,1,16,0,4
422,Email 423,5,1,9,1,2,3,42,1,4
423,Email 424,0,0,1,0,1,0,5,0,0
424,Email 425,8,3,1,2,2,2,23,2,0
425,Email 426,2,1,1,1,0,1,7,1,0
426,Email 427,41,37,92,16,35,5,376,12,38
427,Email 428,1,4,1,1,2,1,9,0,0
428,Email 429,10,11,11,4,5,2,50,4,4
429,Email 430,1,1,1,0,0,0,8,1,0
430,Email 431,7,6,1,2,10,4,61,12,0
431,Email 432,6,4,3,4,3,2,55,0,2
432,Email 433,9,15,2,8,4,9,84,6,0
433,Email 434,1,0,1,2,1,2,33,1,1
434,Email 435,2,2,1,0,1,1,9,2,1
435,Email 436,4,2,2,0,0,3,22,1,1
436,Email 437,5,7,2,2,1,1,57,0,1
437,Email 438,0,0,2,0,0,0,0,0,0
438,Email 439,7,8,2,4,3,17,58,1,0
439,Email 440,2,4,1,1,2,2,19,0,0
440,Email 441,1,0,1,0,0,0,3,0,0
441,Email 442,11,9,7,1,2,0,40,5,2
442,Email 443,5,5,1,0,2,2,25,1,0
443,Email 444,2,3,4,0,5,0,35,0,0
444,Email 445,0,0,1,0,0,0,0,0,0
445,Email 446,5,1,1,1,7,0,19,1,0
446,Email 447,7,17,3,4,8,5,85,19,0
447,Email 448,19,5,5,8,3,3,80,4,0
448,Email 449,2,4,2,1,0,2,58,1,1
449,Email 450,0,1,2,0,3,0,26,0,0
450,Email 451,1,4,1,0,0,1,13,1,0
451,Email 452,1,1,1,0,1,0,7,0,0
452,Email 453,4,5,5,2,1,2,40,2,3
453,Email 454,1,3,1,0,0,9,44,6,0
454,Email 455,0,4,1,1,1,2,23,7,0
455,Email 456,15,17,25,11,6,3,134,1,14
456,Email 457,14,12,6,6,4,4,55,4,3
457,Email 458,7,13,1,4,10,6,83,16,1
458,Email 459,3,14,13,1,5,2,56,5,7
459,Email 460,0,0,1,0,0,0,3,0,0
460,Email 461,2,4,1,1,2,2,20,0,0
461,Email 462,3,4,3,5,4,0,52,13,1
462,Email 463,5,10,2,4,1,10,68,1,1
463,Email 464,4,16,2,2,11,1,79,18,0
464,Email 465,0,1,2,0,1,0,9,0,0
465,Email 466,2,3,1,4,2,3,34,6,1
466,Email 467,4,5,1,0,5,1,28,1,0
467,Email 468,2,2,2,0,0,0,17,1,0
468,Email 469,7,16,5,0,5,4,62,1,1
469,Email 470,3,8,3,0,2,2,34,0,0
470,Email 471,2,7,1,0,1,1,15,0,0
471,Email 472,1,0,1,0,0,0,8,1,0
472,Email 473,9,7,1,2,2,1,43,3,0
473,Email 474,3,2,12,0,5,2,39,1,6
474,Email 475,6,2,1,0,7,0,32,0,0
475,Email 476,2,0,1,1,2,0,24,3,0
476,Email 477,1,0,1,0,1,0,3,0,0
477,Email 478,17,6,3,7,10,7,136,16,0
478,Email 479,5,2,1,3,5,2,31,2,0
479,Email 480,1,0,1,2,0,2,39,1,1
480,Email 481,23,9,10,2,8,2,80,8,6
481,Email 482,6,5,12,3,6,2,49,3,5
482,Email 483,5,3,2,1,2,0,29,1,1
483,Email 484,2,3,1,1,0,2,15,1,0
484,Email 485,4,4,1,1,0,2,27,2,0
485,Email 486,3,0,2,2,1,1,29,2,0
486,Email 487,1,1,1,0,2,2,17,3,0
487,Email 488,6,4,1,0,2,1,33,1,0
488,Email 489,0,1,2,0,1,0,15,0,0
489,Email 490,7,2,1,1,3,0,9,1,0
490,Email 491,0,0,1,0,0,1,4,0,0
491,Email 492,1,2,2,0,1,0,31,1,0
492,Email 493,2,0,1,0,1,0,8,1,0
493,Email 494,4,7,2,3,1,3,54,3,1
494,Email 495,5,14,2,4,4,0,25,0,0
495,Email 496,0,0,1,2,4,1,27,3,0
496,Email 497,0,5,1,0,1,0,7,0,0
497,Email 498,0,1,2,0,1,0,9,0,0
498,Email 499,0,1,2,0,3,0,13,0,0
499,Email 500,4,3,1,5,0,1,32,0,0
500,Email 501,4,4,1,6,0,0,31,2,0
501,Email 502,5,6,8,1,4,2,31,1,4
502,Email 503,10,3,18,1,1,1,51,2,12
503,Email 504,2,4,5,1,6,1,28,4,2
504,Email 505,35,14,2,18,11,14,188,12,3
505,Email 506,1,0,1,0,0,0,4,0,0
506,Email 507,0,1,2,0,1,0,13,0,0
507,Email 508,3,4,2,1,2,0,16,0,0
508,Email 509,31,11,6,2,15,9,99,19,6
509,Email 510,3,3,1,2,5,0,33,0,0
510,Email 511,2,0,1,0,1,0,8,0,0
511,Email 512,2,3,1,1,1,2,15,1,0
512,Email 513,26,13,6,5,12,4,118,14,0
513,Email 514,4,10,16,1,3,0,34,2,6
514,Email 515,6,6,2,2,1,1,23,1,0
515,Email 516,36,29,8,19,4,6,190,39,1
516,Email 517,2,3,2,0,1,0,37,1,0
517,Email 518,15,7,1,5,4,2,43,3,0
518,Email 519,5,10,22,1,4,0,57,4,9
519,Email 520,7,28,4,12,5,6,566,2,2
520,Email 521,4,3,3,2,0,0,37,1,0
521,Email 522,2,0,1,0,1,0,15,1,0
522,Email 523,3,19,22,1,6,2,77,7,11
523,Email 524,11,15,34,5,8,5,105,12,16
524,Email 525,31,22,171,15,21,8,334,25,83
525,Email 526,20,18,40,12,11,9,187,14,18
526,Email 527,10,5,3,13,2,2,93,0,0
527,Email 528,0,2,1,0,1,3,33,1,0
528,Email 529,2,4,2,0,1,1,23,2,0
529,Email 530,12,10,1,3,3,0,34,3,0
530,Email 531,44,15,29,4,12,4,137,3,10
531,Email 532,7,7,1,2,1,2,83,0,1
532,Email 533,38,21,2,16,12,23,204,20,2
533,Email 534,3,5,1,0,0,0,17,2,0
534,Email 535,0,2,1,0,0,0,4,0,0
535,Email 536,7,3,5,3,2,1,42,1,0
536,Email 537,2,4,1,0,0,0,22,0,0
537,Email 538,2,0,1,2,0,2,33,0,1
538,Email 539,4,1,1,0,3,0,14,1,0
539,Email 540,3,2,5,1,5,0,25,2,2
540,Email 541,4,4,2,0,5,1,34,4,0
541,Email 542,3,29,1,7,9,7,457,4,1
542,Email 543,27,16,33,3,14,2,135,14,17
543,Email 544,4,5,1,6,2,2,114,2,0
544,Email 545,4,4,1,1,2,1,35,2,0
545,Email 546,2,6,10,2,2,2,44,4,4
546,Email 547,0,0,1,0,0,0,2,1,0
547,Email 548,4,7,2,5,3,0,41,1,0
548,Email 549,0,5,1,3,1,0,13,1,0
549,Email 550,1,7,21,0,4,3,61,0,7
550,Email 551,0,1,2,0,1,0,13,0,0
551,Email 552,2,2,6,0,2,0,23,4,2
552,Email 553,8,6,1,6,7,0,63,2,0
553,Email 554,0,0,1,0,0,1,9,0,0
554,Email 555,1,0,1,0,0,1,10,1,0
555,Email 556,3,2,6,3,3,1,45,4,2
556,Email 557,1,4,1,0,0,1,12,1,0
